女,推甄,國際貿易科,8,55,50,46,48,33
女,分發,國際貿易科,8,55,43,33,37,40
男,分發,應用外語科,10,56,48,60,55,33
男,推甄,應用外語科,10,55,37,49,41,42
女,推甄,應用外語科,10,55,45,41,48,39
女,推甄,企業管理科,8,51,48,39,48,44
女,推甄,會計統計科,8,48,35,35,27,28
男,推甄,應用外語科,8,60,42,39,50,36
男,分發,應用外語科,10,52,46,50,46,45
女,分發,國際貿易科,10,52,53,40,52,48
男,分發,應用外語科,10,60,40,52,41,49
女,推甄,會計統計科,8,55,40,46,43,41
女,分發,會計統計科,8,56,44,47,46,41
女,推甄,應用外語科,8,55,50,49,35,41
女,分發,國際貿易科,8,55,45,43,55,49
女,推甄,資訊管理科,8,60,43,43,37,38
女,分發,應用外語科,8,56,50,42,46,48
女,分發,資訊管理科,10,52,46,57,39,42
女,推甄,企業管理科,8,55,42,46,39,35
女,推甄,財政稅務科,10,60,40,43,32,40
女,分發,會計統計科,8,52,46,50,55,34
女,分發,資訊管理科,10,51,48,52,44,4
男,推甄,企業管理科,8,51,35,56,34,35
男,分發,會計統計科,8,47,48,47,52,49
男,推甄,資訊管理科,8,55,48,35,43,44
男,推甄,應用外語科,8,60,38,39,40,49
女,推甄,會計統計科,8,41,53,52,40,41
女,推甄,財務金融科,10,60,50,41,44,42
女,推甄,財政稅務科,10,51,42,37,50,54
女,推甄,應用外語科,8,60,42,43,35,52
女,推甄,國際貿易科,12,55,42,33,50,41
女,推甄,財務金融科,6,60,43,43,39,46
女,推甄,應用外語科,10,45,48,46,46,49
男,分發,應用外語科,8,56,40,53,48,46
女,推甄,應用外語科,8,55,48,41,44,44
女,推甄,資訊管理科,8,55,45,43,44,40
女,推甄,應用外語科,8,60,48,43,52,35
女,分發,應用外語科,10,56,46,47,42,46
女,分發,企業管理科,8,52,53,53,44,41
女,分發,資訊管理科,10,52,56,42,41,43
女,推甄,財政稅務科,10,55,35,49,34,47
女,推甄,應用外語科,6,55,43,52,35,42
女,分發,會計統計科,8,52,44,50,41,46
女,推甄,資訊管理科,8,60,40,49,40,35
男,推甄,企業管理科,8,55,45,41,48,38
女,推甄,應用外語科,8,55,43,52,39,46
男,推甄,應用外語科,8,55,43,43,46,40
女,推甄,財政稅務科,8,48,43,56,48,46
女,推甄,財務金融科,10,48,42,56,46,35
女,分發,應用外語科,10,60,48,50,46,39
女,分發,企業管理科,10,60,38,53,50,40
男,推甄,應用外語科,8,55,42,39,48,47
女,分發,財政稅務科,10,56,48,47,50,51
女,推甄,國際貿易科,8,60,56,41,52,43
女,分發,企業管理科,8,56,50,42,46,48
男,推甄,會計統計科,8,51,45,49,44,38
女,分發,財政稅務科,8,60,46,42,48,37
女,推甄,應用外語科,8,51,48,46,46,38
女,推甄,應用外語科,8,60,50,43,48,43
男,推甄,國際貿易科,10,60,53,46,35,42
女,推甄,國際貿易科,10,51,60,46,44,43
女,分發,應用外語科,8,52,56,50,39,43
女,推甄,企業管理科,8,60,42,37,46,38
女,推甄,應用外語科,8,55,43,46,50,47
女,分發,財政稅務科,10,60,40,50,41,40
女,推甄,應用外語科,8,60,31,46,40,40
女,推甄,國際貿易科,8,51,48,43,50,49
女,分發,會計統計科,8,49,53,47,52,46
女,推甄,會計統計科,8,48,37,49,41,49
女,推甄,財務金融科,8,43,50,56,40,40
女,推甄,國際貿易科,10,60,43,52,46,41
男,分發,會計統計科,8,60,44,53,46,34
女,推甄,財務金融科,8,60,35,49,46,32
女,分發,會計統計科,12,49,50,53,41,46
男,推甄,企業管理科,8,48,50,43,48,46
女,推甄,財務金融科,8,55,48,52,35,44
女,推甄,國際貿易科,8,51,53,56,55,52
女,推甄,國際貿易科,8,55,48,49,41,39
女,分發,企業管理科,10,60,45,49,43,49
男,分發,財政稅務科,10,55,40,56,40,40
男,分發,財政稅務科,8,56,48,42,42,45
女,推甄,財務金融科,8,51,35,49,32,33
女,推甄,應用外語科,8,60,48,39,40,42
女,分發,國際貿易科,10,56,50,47,50,49
女,推甄,國際貿易科,8,60,34,52,41,43
女,推甄,國際貿易科,10,55,42,56,44,39
男,推甄,國際貿易科,8,51,43,46,55,47
男,推甄,財政稅務科,10,51,53,52,41,49
男,推甄,財務金融科,8,60,53,33,50,40
女,推甄,企業管理科,8,43,45,46,50,47
男,分發,應用外語科,8,52,56,40,50,42
女,推甄,企業管理科,8,55,43,39,44,43
女,推甄,財政稅務科,8,55,43,52,46,47
女,分發,應用外語科,8,55,43,52,46,46
女,推甄,企業管理科,8,51,50,46,39,38
女,推甄,企業管理科,10,48,45,41,52,44
女,推甄,財政稅務科,6,55,38,49,36,42
女,推甄,財務金融科,8,55,50,43,48,52
女,推甄,國際貿易科,8,55,38,49,52,44
男,推甄,財政稅務科,10,51,43,41,55,47
女,推甄,企業管理科,10,48,42,49,43,42
女,分發,資訊管理科,8,51,48,41,55,41
女,推甄,企業管理科,10,51,40,41,50,42
女,分發,資訊管理科,8,49,44,50,52,48
女,推甄,財務金融科,8,55,42,49,43,40
男,推甄,財政稅務科,8,55,50,41,41,52
女,推甄,財政稅務科,8,43,45,52,39,50
女,推甄,企業管理科,10,60,48,37,36,39
女,推甄,會計統計科,8,55,43,39,43,46
男,推甄,會計統計科,8,43,45,46,50,47
女,推甄,財政稅務科,8,51,45,49,43,52
男,推甄,財務金融科,8,55,45,49,41,52
女,分發,應用外語科,8,60,53,42,42,51
女,分發,應用外語科,10,56,53,47,46,43
女,分發,應用外語科,8,56,46,53,46,43
女,推甄,應用外語科,8,60,42,41,44,40
女,推甄,企業管理科,10,51,43,39,48,46
女,推甄,財政稅務科,10,55,56,39,46,35
男,分發,財務金融科,8,55,45,56,50,49
女,分發,會計統計科,10,55,43,49,36,50
女,推甄,企業管理科,8,55,45,43,41,42
女,推甄,國際貿易科,8,60,50,46,46,36
女,推甄,國際貿易科,8,60,45,41,40,49
女,分發,國際貿易科,8,56,44,53,50,45
女,推甄,會計統計科,8,55,43,39,46,42
女,推甄,資訊管理科,8,60,42,35,48,44
女,推甄,企業管理科,12,60,56,37,44,25
女,分發,應用外語科,8,55,53,43,41,46
女,推甄,國際貿易科,8,55,37,49,55,49
